SubjectID, Experiment, Height, Gender, Age, LocomotionRandomOrderId, TrialArray
testHaley, locima, , female, , 1, [see code]

Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
 
LOCOMOTION
10, 0, -0.06005135, -0.03372551, -0.9976254, 0.02637859, -0.2596484, -0.9653428, 181.9362, 183.4447, 240.6809, 195.0546, 178.4348, 174.199, 13.11838, 5.009964, -66.4819, -0.05907976, -0.03947004, -0.9974728, 0.9640617, -0.262574, -0.04049681, 182.266, 183.3896, 236.2539, 261.2324, 92.40538, 105.2356, 78.96634, 90.98425, -131.0182, 0.329834, 0.05508423, -4.427063, 66.1778, 86.02937, -68.96339, 65.84796, -85.97429, -64.53632, 0.1783011
11, 1, -0.03994753, -0.03967492, -0.9984139, 0.02495549, -0.2585576, -0.9656734, 182.2756, 182.2912, 225.1962, 194.9893, 178.5197, 174.487, 12.71365, 3.771576, -50.70918, -0.04012154, -0.03801451, -0.9984714, 0.3152449, -0.9228964, -0.221095, 182.1804, 182.3011, 226.5447, 256.5278, 125.0436, 161.1407, 74.34741, 57.25742, -65.40393, -0.09526062, -0.009841919, 1.348495, 61.5385, 53.47601, -13.34625, 61.63376, -53.48585, -14.69475, 0.2030963
12, 8, -0.03131837, -0.04415606, -0.998534, 0.02939857, -0.2591163, -0.9653987, 182.532, 181.7965, 215.3468, 195.0243, 178.2558, 173.5271, 12.49226, 3.54071, -41.81969, -0.02176175, -0.04834545, -0.9985936, -0.1616407, -0.4257933, -0.8902653, 182.7717, 181.2484, 204.2339, 205.5607, 190.2908, 200.7879, 22.78897, -9.042374, -3.446075, 0.2397156, 0.5480499, -11.11282, 10.53642, -12.03503, 27.26079, 10.29671, 12.58308, 38.37361, 0.1806575
13, 6, 0.01993234, -0.04353239, -0.9988533, 0.0307202, -0.2599418, -0.9651355, 182.4955, 178.8568, 155.3982, 195.0739, 178.1769, 173.26, 12.5784, 0.6799011, 17.8618, 0.01736039, -0.03856964, -0.9991051, -0.1614742, -0.4262823, -0.8900616, 182.2108, 179.0045, 155.7672, 205.5914, 190.2827, 200.7465, 23.38068, -11.27817, 44.97928, -0.2847443, -0.1477356, 0.3690491, 10.51753, -12.1058, 27.48653, 10.80228, 11.95807, 27.11748, 0.1758401
14, 2, 0.009141187, -0.03778224, -0.9992442, 0.03148125, -0.2598223, -0.9651431, 182.1654, 179.4759, 166.399, 195.0672, 178.1318, 173.0915, 12.90178, 1.344101, 6.692459, 0.02570461, -0.03399966, -0.9990913, -0.04732398, -0.9037886, 0.4253547, 181.9491, 178.5262, 142.9098, 295.2033, 353.6515, 182.9974, 113.2543, -175.1253, 40.08757, -0.2163239, 0.9496613, -23.48921, 100.1362, -175.5197, 9.905899, 100.3525, 176.4694, 33.39511, 0.1838411
15, 5, 0.002944406, -0.05495292, -0.9984849, 0.02898615, -0.2586356, -0.96554, 183.1502, 179.831, 176.933, 194.9956, 178.2805, 173.6054, 11.84538, 1.550568, -3.327637, 0.002590757, -0.05254729, -0.9986154, 0.2256864, -0.03406584, -0.9736042, 183.0121, 179.8513, 177.1774, 182.0039, 166.9491, 98.58361, -1.008194, 12.9023, -78.5938, -0.1380463, -0.02030945, 0.2444153, -12.99162, 11.33142, -75.02175, -12.85358, -11.35173, -75.26617, 0.1637063
16, 3, 0.01184709, -0.03900032, -0.9991692, 0.03178626, -0.2586636, -0.9654443, 182.2353, 179.3207, 163.1028, 194.9985, 178.1143, 172.9942, 12.76326, 1.206406, 9.891403, 0.0153566, -0.01170756, -0.9998138, 0.2263809, -0.03508152, -0.9734069, 180.6709, 179.12, 127.3212, 182.064, 166.9077, 98.80888, 1.393158, 12.21231, -28.51228, -1.564392, 0.2006531, -35.78168, -12.93449, 11.20656, -74.18537, -11.3701, -11.00591, -38.40369, 0.1987426
17, 0, 0.03878772, -0.02557534, -0.9989204, 0.03135197, -0.2585775, -0.9654816, 181.4666, 177.7763, 123.3995, 194.9932, 178.1401, 173.0868, 13.52658, -0.3637543, 49.68722, 0.08399425, -0.02083484, -0.9962485, -0.2865635, 0.7428031, -0.6050826, 181.1981, 175.1808, 103.9311, 129.166, 205.3419, 338.9041, -52.03203, -30.16119, 234.973, -0.2685699, 2.595581, -19.46846, -65.82718, -27.20186, 165.8173, -65.55861, 29.79744, 185.2858, 0.1991803
18, 3, -0.004572412, -0.05539856, -0.9984537, 0.03027187, -0.2544053, -0.9666238, 183.1758, 180.2624, 184.7183, 194.7453, 178.2063, 173.2142, 11.5695, 2.056122, -11.50406, 0.2061498, -0.1682644, -0.9639446, 0.2972299, -0.9302737, -0.2150469, 189.9017, 167.9285, 129.2222, 256.9838, 125.8859, 162.2809, 67.08215, 42.04266, 33.05875, 6.725922, 12.33383, -55.49615, 62.23857, 52.32037, -10.93335, 55.51265, -39.98654, 44.56281, 19.179
18, 3, 0.8263381, -0.1213573, -0.5499433, 0.1327572, -0.03425644, 0.9905564, 192.4442, 123.6445, 98.35483, 358.0193, 7.633454, 104.4689, 165.5751, 116.011, 6.114067, 0.8930841, -0.03351286, -0.4486402, 0.231671, 0.2646063, 0.9361154, 184.272, 116.6726, 92.14901, 15.7837, 13.90034, 41.20314, -168.4883, 102.7723, -50.94587, -8.17218, 6.971863, -6.205818, -342.2356, -6.266882, -63.26575, -334.0634, 13.23874, -57.05993, 0.6428647
